alpha,subset_ratio,repetition,os_time,os_iter,os_beta_mse,os_sigma_mse,inr_time,inr_iter,inr_beta_mse,inr_sigma_mse
1.0,0.05,242,105.5946888923645,1,0.00025056441809341264,0.004313453130210469,140.5460124015808,3,0.0002377352839267837,0.004157917297214949
1.0,0.05,304,96.24085545539856,1,0.00014963311748182126,0.002980047450734223,133.33543610572815,2,0.0001513572022573552,0.0030026436611763512
1.0,0.05,493,100.39490103721619,1,1.47520487295937e-05,0.0013490160014627392,127.93993377685547,2,1.3498309030165676e-05,0.0013286205932493797
1.0,0.05,430,109.47583150863647,1,0.00012041703209736532,0.0023528795467367895,111.11538767814636,2,0.00012443856521832526,0.002398681518229429
1.0,0.05,367,114.03165125846863,1,0.00021570703614907043,0.0031102489532301453,116.83038139343262,3,0.00022474423453417453,0.003215128448805581
1.0,0.05,133,116.13119459152222,1,2.3786208927981777e-05,0.001330645226788858,112.71050095558167,3,2.7462567049005444e-05,0.0013776007020445968
1.0,0.05,72,111.19182538986206,1,0.00034942482334979094,0.0043831463582745525,90.80699920654297,2,0.0003472380417828979,0.0043592323014723525
1.0,0.05,186,115.90003180503845,1,5.0225648424285285e-06,0.0011359230552738693,104.41044425964355,3,3.673445574054308e-06,0.001114573676996953
1.0,0.05,243,108.31079459190369,1,0.0001484754337800686,0.0031613201217420613,92.83591532707214,2,0.0001539262529652291,0.003233807804218511
1.0,0.05,305,74.86630415916443,1,0.00010660078479495121,0.002085715952484761,122.02190327644348,2,0.0001044951915098977,0.0020626665087984915
1.0,0.05,494,79.50744867324829,1,0.0011039825856089286,0.013563827930451921,146.82645201683044,3,0.001081313531274689,0.013299709545864341
1.0,0.05,431,88.54106640815735,1,0.00010715731710225036,0.0018171406764337064,124.88649606704712,2,0.00010368245198052998,0.001785091307385603
1.0,0.05,368,97.77752351760864,1,0.00015106284584025256,0.0031731488635076367,140.32497024536133,3,0.00014231794799010144,0.0030604528852686136
1.0,0.05,73,103.34646797180176,1,0.0001949668734597021,0.00390477047357204,121.04534602165222,2,0.0001995820358521199,0.003966836417108866
1.0,0.05,134,101.46049928665161,1,8.418316679205435e-06,0.0011238460719209713,140.74174451828003,3,5.2011509256160115e-06,0.001087982535513571
